Country,Year,AnnualMeanTemp,TempVolatility,iso_code,population,gdp,co2,co2_per_capita,cumulative_co2,ghg_per_capita,greenhouse_gas,gdp_per_capita,carbon_intensity_elec,electricity_generation,CoalShare,GasShare,NuclearShare,HydroShare,SolarShare,WindShare,RenewablesShare,Low_carbonShare
Belarus,2017,7.830990629183401,8.774203514849741,BLR,9495793.0,173606575679.0,59.444,6.26,4771.23,10.726,101.855,18282.47263593467,499.86,34.51,0.08693132425383947,97.10228919153869,0.0,1.1590843233845265,0.2607939727615184,0.2897710808461316,2.2602144305998264,2.2602144305998264
Belarus,2018,6.900725467735777,10.620373644884458,BLR,9480031.0,179054352755.0,62.171,6.558,4833.401,10.955,103.849,18887.528190044948,501.15,38.99,0.07694280584765324,97.17876378558604,0.0,0.8207232623749678,0.46165683508591937,0.2564760194921775,2.077455757886638,2.077455757886638
Belarus,2019,6.9373270067220245,8.143569383509929,BLR,9435415.0,181643469714.0,62.171,6.589,4895.572,10.886,102.713,19251.24329072966,498.76,40.46,0.07414730598121601,96.86109738012851,0.0,0.8403361344537815,0.4448838358872961,0.4448838358872961,2.570439940682155,2.570439940682155
Belarus,2020,3.3375350140056024,4.578521222288967,BLR,9350943.0,180420997693.0,59.123,6.323,4954.695,10.635,99.446,19294.41743928928,498.7,38.54,0.07784120394395433,90.01037882719253,0.8822003113648159,1.0119356512714064,0.46704722366372603,0.4929942916450441,3.5028541774779454,4.385054488842761
Belgium,2000,11.286126290224653,4.893387094915348,BEL,10251719.0,345706865981.0,126.776,12.366,10330.207,14.872,152.466,33721.84372016049,269.6,82.79,15.605749486652975,19.301848049281315,58.17127672424205,0.5556226597415147,0.0,0.024157506945283246,1.2682691146273704,59.43954583886942
Belgium,2001,10.881887366818875,5.947740769967058,BEL,10287005.0,349015220419.0,126.085,12.257,10456.292,14.622,150.412,33927.777853612395,252.83,78.63,12.641485438127942,20.06867607783289,58.946966806562386,0.5595828564161262,0.0,0.05087116876510238,1.3735215566577645,60.32048836322015
Belgium,2002,11.296398891966758,4.88877556017762,BEL,10332975.0,355705534550.0,126.883,12.279,10583.175,14.615,151.02,34424.309993007824,249.82,80.94,12.391895231035335,22.078082530269338,58.51247837904621,0.4447739065974796,0.0,0.07412898443291327,1.408450704225352,59.92092908327156
Belgium,2003,11.2910197869102,6.414762052883069,BEL,10376262.0,358937085300.0,128.292,12.364,10711.468,14.616,151.658,34592.13783345101,249.13,83.57,11.535239918631088,25.85856168481513,56.69498623908101,0.2991504128275697,0.0,0.1076941486179251,1.4359219815723345,58.130908220653346
Belgium,2004,10.905434122647238,5.605112015998859,BEL,10421298.0,372499172102.0,128.812,12.36,10840.279,14.735,153.557,35744.028440794995,247.62,82.91,11.036063201061392,24.170787601013146,57.061874321553496,0.38596068025569896,0.0,0.1688577976118683,1.809190688698589,58.87106501025209
Belgium,2005,11.189041095890412,5.833881413652231,BEL,10478883.0,380840056202.0,125.658,11.992,10965.938,14.2,148.796,36343.573661620234,241.05,84.38,9.717942640436123,25.479971557241054,56.411471912775546,0.34368333728371653,0.0,0.27257643991467173,2.5005925574780754,58.912064470253625
Belgium,2006,11.142161339421614,6.6878040337216715,BEL,10548445.0,390874955040.0,123.9,11.746,11089.838,13.885,146.462,37055.22046519653,231.58,83.34,8.21934245260379,26.38588912886969,55.975521958243334,0.43196544276457877,0.0,0.4439644828413727,3.5517158627309815,59.52723782097432
Belgium,2007,11.191697191697191,4.797552498696646,BEL,10625488.0,404721960651.0,120.493,11.34,11210.331,13.477,143.205,38089.72921064896,224.28,86.81,7.453058403409744,28.406865568482893,55.55811542449026,0.4492569980417003,0.011519410206197442,0.5644511001036747,4.020274161962908,59.57838958645317
